id,age,female,area,educ_years,income,pol_interest,pol_know,gotv,vote_intent
92,48,0,urban,12,52.1,4,4,0,4.7
93,41,0,suburban,12,38.6,5,3,0,7.4
94,34,1,urban,15,35.4,6,3,0,6.2
95,69,0,suburban,15,75.8,4,4,0,6.1
96,64,0,suburban,17,111.1,7,8,0,6.7
97,18,1,suburban,14,28.0,2,1,0,3.5
98,18,0,rural,18,40.6,5,5,0,6.8
99,71,1,suburban,13,48.6,5,7,0,4.6
100,25,1,suburban,10,27.7,3,3,1,5.0
101,40,1,suburban,15,49.5,6,3,0,4.9
102,50,1,suburban,17,67.0,8,7,1,8.8
103,39,1,rural,11,37.3,6,3,0,4.3
104,55,0,suburban,14,98.7,6,2,0,7.5
105,34,1,urban,16,55.1,5,5,0,3.7
106,75,1,rural,15,42.9,6,3,0,5.4
107,61,1,urban,13,59.0,4,1,0,3.5
108,27,0,urban,16,90.2,5,5,1,6.9
109,45,1,suburban,11,25.5,5,1,0,4.5
110,63,0,suburban,15,52.0,6,2,1,7.0
111,18,0,suburban,11,32.7,4,1,0,2.2
112,46,1,rural,13,33.4,3,3,0,4.3
113,28,1,suburban,17,45.1,4,4,1,7.6
114,88,1,rural,10,47.3,4,2,0,4.0
115,49,1,suburban,16,65.1,3,3,0,4.7
116,43,0,rural,13,33.6,5,2,0,5.1
117,43,1,rural,12,76.3,5,6,1,5.4
118,27,1,rural,10,15.5,1,4,0,1.6
119,50,1,urban,14,54.8,2,1,0,5.2
120,44,0,rural,13,81.4,8,4,1,6.8
121,51,0,urban,12,84.8,6,2,0,4.8
122,18,1,suburban,15,17.8,6,4,0,5.4
123,38,0,urban,12,40.1,8,6,1,7.8
124,50,0,suburban,9,31.7,2,3,0,6.7
125,34,0,suburban,11,46.4,2,1,0,4.5
126,56,1,suburban,16,57.8,6,7,1,9.2
127,39,1,urban,10,31.8,5,2,0,3.9
128,18,0,suburban,15,40.2,4,5,0,5.1
129,71,0,suburban,9,35.8,5,4,0,5.0
130,76,1,rural,14,44.1,8,5,0,5.6
131,42,0,rural,13,58.2,5,6,1,7.6
132,55,0,suburban,18,84.2,6,5,0,7.4
133,18,0,suburban,10,11.6,2,2,0,3.4
134,77,1,rural,18,78.9,8,7,0,7.0
135,66,0,rural,14,37.7,4,5,0,6.0
136,63,0,rural,9,34.9,6,5,0,6.3
137,68,1,suburban,10,34.5,6,3,1,5.8
138,31,0,suburban,13,54.4,3,2,0,6.2
139,50,0,rural,13,49.5,7,3,0,5.9
140,60,1,urban,8,55.0,3,1,0,4.3
141,71,0,urban,13,29.7,5,6,0,5.7
142,60,1,urban,14,68.1,4,5,0,6.0
143,44,0,suburban,9,91.0,4,3,0,4.7
144,62,0,rural,8,30.9,6,5,0,3.5
145,64,1,rural,12,67.3,3,7,0,3.9
146,18,0,rural,12,19.3,5,7,0,5.4
147,57,1,urban,8,26.0,5,3,0,4.3
148,87,1,suburban,12,64.9,6,7,0,5.1
149,60,1,rural,12,38.9,5,3,1,5.9
150,47,1,urban,11,27.8,1,3,0,2.5
151,61,0,rural,13,45.5,4,5,0,6.2
152,53,1,rural,15,57.1,6,4,0,4.8
153,65,1,urban,12,45.0,4,4,0,5.1
154,35,1,urban,19,161.0,5,3,0,6.0
155,67,0,suburban,10,49.4,4,2,0,3.7
156,55,1,rural,17,81.1,6,7,0,5.6
157,53,1,suburban,14,52.8,4,5,0,4.6
158,61,0,urban,11,40.0,3,3,0,4.8
159,29,1,suburban,11,46.5,6,3,0,5.5
160,51,1,urban,8,41.5,7,5,1,7.3
161,43,0,rural,10,31.6,1,0,0,1.8
162,43,0,suburban,10,20.1,4,2,0,3.6
163,43,0,urban,19,83.0,8,7,1,8.5
164,31,1,urban,10,17.5,3,3,0,3.9
165,58,0,suburban,14,54.5,7,4,1,9.6
166,32,1,rural,14,43.3,3,4,0,4.4
167,43,0,suburban,17,55.7,6,4,0,5.5
168,41,1,suburban,12,38.2,2,1,0,2.6
169,53,1,rural,8,12.6,5,3,0,4.6
170,51,0,suburban,13,89.8,5,7,1,7.3
171,63,1,suburban,20,147.2,8,6,1,8.8
172,18,1,suburban,12,17.1,3,3,0,2.1
173,68,1,urban,14,50.9,7,7,1,9.9
174,55,1,suburban,15,64.1,7,6,0,6.7
175,46,0,suburban,11,29.2,4,5,0,3.7
176,54,1,urban,11,29.1,6,4,1,6.3
177,33,1,urban,13,31.7,3,3,0,1.0
178,22,0,urban,12,21.5,3,5,0,3.5
179,18,1,suburban,11,33.6,6,5,1,5.4
180,60,1,suburban,9,37.4,3,3,0,3.5
181,44,0,urban,15,39.3,6,6,1,6.5
182,36,1,suburban,16,36.9,7,7,0,7.8
183,87,1,urban,12,49.6,9,6,1,10.0
184,53,1,rural,16,47.7,5,5,0,5.1
185,64,1,urban,11,59.5,3,1,0,4.6
186,56,0,suburban,13,92.6,8,8,1,7.5
187,51,1,rural,14,21.6,5,8,1,7.6
188,66,0,suburban,15,53.6,5,3,0,6.5
189,56,1,rural,16,59.5,4,4,0,5.3
190,63,0,urban,10,41.4,5,2,1,6.9
191,45,0,urban,18,35.6,8,5,1,7.1
192,70,1,rural,18,72.4,8,6,0,7.3
193,64,0,suburban,8,39.0,2,6,0,3.6
194,65,0,suburban,16,102.2,6,8,1,10.0
195,33,0,rural,15,51.8,10,7,0,7.3
196,27,1,suburban,15,50.0,5,3,0,5.6
197,43,1,suburban,12,41.2,6,7,1,8.8
198,69,1,rural,16,58.9,5,7,0,7.3
199,47,1,rural,12,60.0,9,8,1,10.0
200,29,0,suburban,11,38.7,8,6,0,7.6
201,67,0,rural,15,39.8,4,7,0,5.2
202,32,1,suburban,15,38.2,5,3,0,4.1
203,44,0,suburban,14,85.9,3,4,0,4.7
204,48,0,urban,11,59.5,7,8,0,7.6
205,49,1,suburban,11,38.7,6,4,0,6.3
206,43,1,rural,15,68.4,7,5,0,6.7
207,61,0,urban,15,46.9,4,2,0,5.0
208,67,0,suburban,12,65.4,7,6,0,5.3
209,63,1,suburban,13,51.8,8,6,1,5.7
210,59,0,rural,11,30.3,1,2,0,5.4
211,58,0,urban,14,39.8,6,6,1,8.0
212,45,1,urban,16,38.1,8,5,0,8.3
213,31,0,suburban,8,18.4,2,3,0,0.7
214,59,0,urban,10,55.2,5,4,0,4.8
215,78,1,urban,16,72.4,7,6,1,7.5
216,18,0,urban,18,36.9,6,6,0,6.8
217,55,0,suburban,11,30.4,3,2,0,5.4
218,21,1,rural,9,14.4,2,1,0,3.6
219,70,1,urban,14,50.0,7,7,0,7.5
220,38,1,rural,14,36.1,5,6,0,6.0
221,40,0,suburban,8,52.2,4,4,0,5.2
222,44,0,rural,8,36.9,4,2,0,1.4
223,34,0,rural,11,31.0,5,1,0,5.4
224,46,0,rural,14,64.2,6,1,0,5.8
225,35,1,suburban,14,107.8,5,4,0,6.4
226,43,0,suburban,14,46.2,5,3,0,4.3
227,61,1,urban,12,41.5,7,3,0,5.6
228,73,1,urban,14,50.3,3,3,0,2.2
229,18,1,urban,20,72.2,9,8,0,7.4
230,36,1,suburban,14,53.0,5,5,0,3.7
231,64,0,urban,12,58.9,5,6,0,7.8
232,52,1,suburban,11,37.6,7,6,0,5.3
233,54,0,rural,15,55.1,7,5,0,7.5
234,59,0,rural,18,65.9,7,7,0,7.4
235,65,1,urban,14,65.2,2,5,0,4.8
236,40,1,suburban,13,34.8,5,4,0,6.3
237,72,0,rural,17,33.7,6,8,0,6.8
238,38,0,suburban,8,16.8,3,3,0,6.1
239,53,0,urban,12,63.3,4,5,0,4.8
240,18,1,urban,16,37.7,7,4,0,5.4
241,55,0,rural,13,39.6,5,5,0,5.0
242,45,1,urban,15,48.3,6,6,0,4.9
243,43,1,rural,14,21.6,3,2,0,3.9
244,53,0,rural,13,34.5,6,3,0,7.6
245,72,1,urban,12,30.6,4,5,0,3.9
246,18,0,urban,15,21.5,5,3,0,4.5
247,51,0,suburban,11,25.8,5,6,1,5.6
248,71,0,urban,18,118.0,5,5,0,7.1
249,45,1,suburban,13,36.6,4,5,0,4.7
250,18,1,suburban,11,22.5,3,0,0,0.4
251,50,1,urban,14,57.5,8,6,0,6.9
252,45,1,rural,11,27.6,3,2,0,3.4
253,39,0,suburban,17,46.1,5,3,0,4.9
254,62,0,urban,15,52.1,5,7,0,4.3
255,38,0,urban,13,51.6,6,2,1,6.3
256,35,0,urban,13,29.6,3,3,0,4.8
257,47,1,suburban,15,58.8,8,5,1,7.1
258,49,0,urban,15,45.5,8,8,1,8.2
259,56,0,suburban,9,24.9,1,3,0,4.2
260,33,1,rural,16,35.5,6,4,0,5.2
261,50,1,urban,18,100.1,3,7,0,5.2
262,46,1,urban,13,34.2,5,3,1,8.1
263,53,0,urban,16,49.4,5,3,0,4.8
264,44,0,suburban,18,86.9,8,6,0,8.0
265,32,0,urban,15,42.5,5,7,0,5.7
266,52,1,rural,10,35.7,2,3,0,2.7
267,53,0,rural,15,53.1,5,7,0,5.4
268,38,0,rural,13,27.3,6,3,0,5.1
269,36,0,rural,15,89.8,5,5,0,5.2
270,42,1,rural,18,102.7,7,6,0,6.7
271,35,0,suburban,16,27.7,5,5,0,5.6
272,56,0,urban,14,53.7,2,1,0,3.9
273,57,1,rural,10,21.0,4,4,0,5.5
274,40,1,urban,8,72.6,2,0,0,2.8
275,64,1,suburban,13,53.2,6,3,0,4.5
276,40,1,rural,13,66.8,4,6,0,6.8
277,43,0,urban,19,126.2,7,5,1,7.9
278,42,1,suburban,12,25.6,4,2,0,4.3
279,49,0,suburban,10,43.5,5,4,0,3.9
280,62,0,suburban,16,91.7,4,7,0,7.0
281,42,1,suburban,9,41.1,6,4,1,7.1
282,60,1,suburban,10,41.4,6,3,0,3.0
283,48,1,urban,11,49.0,3,1,0,2.1
284,26,1,suburban,10,23.4,5,3,0,3.3
285,30,1,rural,9,26.1,2,0,0,2.5
286,80,0,rural,16,50.8,6,5,0,5.3
287,59,1,suburban,11,77.3,6,3,1,7.0
288,44,1,urban,15,52.0,7,6,1,7.2
289,58,1,urban,14,59.3,4,7,0,5.3
290,36,1,rural,16,59.4,7,7,1,6.7
291,42,1,rural,16,53.9,4,1,0,5.7
292,50,1,urban,10,31.2,6,2,1,6.4
293,58,1,rural,16,115.4,4,2,1,5.5
294,43,0,urban,14,63.4,5,6,1,8.7
295,69,1,rural,14,44.1,7,3,0,4.1
296,47,0,suburban,16,93.2,6,5,1,5.5
297,68,0,urban,12,44.3,3,5,0,2.6
298,51,1,urban,11,85.2,5,2,0,5.8
299,50,1,rural,15,42.8,9,6,0,9.1
300,62,0,rural,14,55.0,0,4,0,2.7
301,36,0,urban,16,34.2,7,5,0,4.6
302,43,0,rural,12,39.8,5,5,0,4.1
303,37,0,rural,8,40.6,4,3,0,3.2
304,33,1,suburban,13,54.9,3,3,0,3.9
305,31,1,suburban,17,51.4,5,3,0,3.1
306,29,1,suburban,15,41.9,6,5,0,5.3
307,41,0,suburban,15,39.1,7,5,0,4.7
308,39,0,suburban,16,43.6,4,3,0,4.4
309,32,0,urban,15,32.0,1,5,1,5.6
310,72,0,urban,16,64.8,4,4,0,6.6
311,84,0,urban,11,56.5,4,5,0,5.1
312,76,0,suburban,16,52.7,9,6,0,10.0
313,77,0,urban,13,35.4,8,4,1,10.0
314,49,0,urban,10,30.6,3,1,0,1.4
315,69,1,suburban,12,21.5,4,6,1,5.6
316,24,0,urban,14,25.0,8,8,0,6.2
317,34,1,urban,14,57.0,6,7,0,5.4
318,18,0,suburban,17,29.9,5,8,0,7.0
319,49,1,suburban,9,28.9,6,4,1,6.6
320,48,0,suburban,14,65.9,4,5,0,3.2
321,21,1,rural,17,34.2,6,6,0,6.8
322,56,1,rural,10,25.2,3,1,0,4.4
323,75,1,suburban,14,51.4,8,6,1,7.9
324,86,0,suburban,13,34.2,2,2,0,5.7
325,22,0,urban,15,33.3,4,3,0,5.4
326,75,1,urban,11,41.9,8,6,0,5.2
327,37,0,rural,13,44.5,5,5,0,4.6
328,55,1,urban,16,43.6,5,6,1,6.0
329,30,0,urban,13,33.6,6,6,0,7.0
330,55,0,suburban,14,39.2,3,2,0,4.6
331,59,1,urban,16,82.6,6,6,1,9.1
332,18,0,suburban,13,25.2,6,6,0,4.4
333,18,1,urban,13,32.7,3,2,0,4.4
334,35,0,suburban,15,24.4,5,4,0,4.4
335,45,1,suburban,8,18.0,5,1,0,3.6
336,57,1,urban,15,51.5,0,0,0,3.7
337,40,0,rural,15,41.6,7,5,1,7.6
338,60,0,urban,17,53.4,6,4,1,5.8
339,55,1,urban,12,56.6,4,4,0,3.7
340,62,1,urban,16,55.0,7,8,1,8.1
341,64,1,urban,10,38.4,4,6,0,5.8
342,35,1,suburban,14,25.3,7,4,0,6.9
343,44,1,suburban,13,35.8,5,6,0,6.4
344,53,1,suburban,19,81.5,7,6,0,6.8
345,62,1,rural,11,31.3,4,3,0,3.4
346,69,0,urban,17,54.5,8,5,0,8.2
347,46,0,suburban,12,35.5,4,3,0,2.6
348,45,0,rural,15,73.3,5,4,0,7.4
349,36,0,rural,14,24.5,4,1,0,4.7
350,53,1,urban,17,61.0,8,7,0,8.1
351,44,1,suburban,14,34.1,8,8,0,6.6
352,69,1,urban,14,54.3,0,1,0,3.4
353,52,0,suburban,11,32.5,3,6,0,3.0
354,37,0,suburban,14,71.5,4,5,0,6.0
355,23,0,rural,10,19.2,7,3,0,6.0
356,75,1,suburban,17,60.2,3,7,0,6.7
357,61,1,urban,14,54.8,6,3,0,3.4
358,19,0,rural,15,31.9,2,3,0,4.9
359,29,1,suburban,9,14.7,6,3,0,6.6
360,44,0,suburban,13,59.9,7,4,1,7.4
361,43,0,suburban,9,41.2,5,0,0,3.9
362,53,1,rural,11,57.6,7,6,0,6.5
363,26,1,rural,8,23.6,4,3,0,3.2
364,67,1,suburban,17,94.1,7,8,1,9.1
365,18,1,urban,13,25.4,6,5,0,4.7
366,52,0,urban,16,74.5,4,7,0,6.9
367,76,0,urban,15,69.3,7,7,1,9.6
368,52,1,suburban,9,33.6,7,5,0,4.9
369,18,1,urban,15,27.6,6,5,1,6.6
370,64,1,urban,17,124.0,8,8,1,10.0
371,57,1,suburban,15,70.5,6,3,0,5.7
372,26,0,suburban,16,38.0,9,7,1,7.8
373,52,1,rural,14,96.5,6,7,0,4.3
374,59,0,rural,11,40.1,7,5,0,4.7
375,57,0,suburban,14,55.1,5,5,0,5.1
376,75,0,suburban,12,26.0,7,4,0,6.8
377,48,1,suburban,12,47.3,4,3,0,5.2
378,48,1,urban,15,53.6,7,5,0,8.1
379,73,0,suburban,12,28.5,3,3,0,5.9
380,50,1,suburban,13,42.0,7,7,1,7.6
381,34,0,rural,12,63.3,7,3,1,8.3
382,50,1,suburban,8,21.8,5,3,1,3.4
383,18,0,rural,13,21.0,1,3,0,2.8
384,81,0,rural,15,55.2,3,3,0,4.6
385,88,1,rural,13,39.2,7,7,0,7.8
386,35,1,rural,12,18.6,3,3,0,3.5
387,48,0,suburban,10,36.8,5,2,0,4.6
388,44,1,rural,13,42.9,5,2,0,3.9
389,50,0,suburban,9,37.7,6,3,0,4.2
390,45,0,suburban,16,47.1,3,3,0,3.5
391,57,0,suburban,9,35.9,3,2,0,5.4
392,78,0,urban,14,40.8,8,3,0,7.6
393,18,0,suburban,16,43.7,3,3,0,3.5
394,42,1,urban,12,23.6,2,2,0,2.4
395,58,0,rural,11,41.3,6,7,1,6.8
396,45,0,suburban,11,70.1,6,5,0,5.6
397,58,0,rural,14,55.6,4,4,0,5.6
398,55,1,suburban,16,60.6,6,5,0,5.0
399,28,0,suburban,8,34.9,3,1,0,1.7
400,67,1,suburban,16,74.0,9,6,0,7.5
401,53,1,urban,16,57.8,5,4,1,9.0
402,25,1,suburban,10,24.8,3,3,0,3.7
403,26,0,suburban,12,56.4,4,3,0,4.6
404,42,0,suburban,13,64.2,3,5,0,4.6
405,27,0,suburban,9,10.9,1,0,0,4.1
406,43,1,suburban,18,49.9,6,6,0,5.4
407,88,1,urban,18,68.0,7,8,0,6.5
408,55,0,rural,16,51.0,7,6,1,6.6
409,41,0,urban,14,41.7,7,6,0,4.2
410,19,0,suburban,9,26.6,3,4,0,1.6
411,62,0,urban,17,123.7,7,6,1,10.0
412,30,1,suburban,19,29.5,5,6,0,6.2
413,55,0,rural,10,49.7,4,4,0,3.1
414,47,0,suburban,15,70.0,10,5,1,6.6
415,39,1,rural,13,46.7,4,4,0,7.9
416,57,1,suburban,14,18.6,4,1,0,2.7
417,49,1,rural,14,56.3,5,5,0,4.5
418,39,0,rural,16,53.0,6,5,0,5.8
419,33,1,urban,11,25.5,6,3,0,3.5
420,45,1,rural,9,24.0,5,1,0,7.6
421,83,0,rural,8,31.8,4,0,0,4.9
422,78,0,suburban,14,56.4,4,6,0,6.2
423,67,0,suburban,17,64.8,9,7,0,7.1
424,55,1,urban,12,72.2,3,4,0,3.0
425,45,1,urban,16,57.6,6,7,1,7.2
426,79,0,suburban,13,35.4,3,4,0,7.5
427,73,0,suburban,13,50.8,6,5,0,4.6
428,36,1,suburban,15,43.2,4,5,0,4.1
429,21,1,rural,12,19.6,4,1,0,3.2
430,42,1,rural,9,32.1,9,7,1,8.4
431,52,0,suburban,18,151.5,6,4,1,6.8
432,68,0,rural,14,31.9,7,5,0,6.6
433,39,1,rural,19,52.9,4,5,0,6.2
434,65,1,suburban,16,52.1,7,5,0,4.9
435,58,1,rural,16,61.5,7,5,0,8.5
436,41,1,urban,10,30.3,6,7,0,5.1
437,44,0,urban,13,34.6,7,8,1,8.3
438,58,0,suburban,11,46.9,7,2,0,6.1
439,55,0,rural,18,77.4,6,5,1,9.9
440,46,0,suburban,17,108.0,7,7,0,6.6
441,35,1,rural,10,29.8,6,1,0,5.2
442,65,1,urban,15,78.2,8,4,0,7.2
443,57,0,urban,16,56.6,7,7,0,7.5
444,53,0,rural,11,38.8,3,1,1,5.8
445,57,1,urban,11,31.2,5,1,0,4.8
446,50,1,urban,13,38.2,8,7,0,4.3
447,28,1,urban,13,50.5,3,3,1,4.7
448,35,1,urban,18,53.2,5,7,1,8.3
449,61,0,urban,15,92.6,6,3,0,4.1
450,36,1,rural,9,16.9,3,1,1,6.2
451,57,1,suburban,11,38.5,5,6,0,6.9
452,40,0,urban,16,64.4,2,3,0,2.1
453,54,1,rural,18,56.7,9,7,0,7.1
454,31,1,suburban,12,68.8,4,4,0,4.0
455,50,0,urban,12,40.1,6,7,0,7.5
456,37,0,urban,13,47.9,9,7,0,7.6
457,34,0,urban,14,50.0,3,5,0,5.3
458,69,1,suburban,8,23.7,2,3,0,3.6
459,54,0,rural,8,16.1,4,1,0,3.3
460,36,0,urban,11,52.4,3,1,0,3.2
461,77,1,urban,14,68.2,3,4,0,3.4
462,58,0,rural,12,50.6,7,6,1,6.8
463,47,0,rural,8,17.6,1,0,0,2.1
464,66,1,rural,13,84.6,7,3,0,5.7
465,56,1,urban,17,52.9,7,7,0,8.3
466,45,0,rural,15,51.2,7,4,1,6.1
467,54,0,rural,13,40.9,4,3,0,5.5
468,48,0,suburban,14,25.0,5,5,0,4.6
469,32,1,suburban,11,32.6,5,4,0,4.9
470,69,1,urban,15,46.1,4,5,0,4.4
471,39,1,suburban,12,22.3,6,3,0,4.5
472,50,1,rural,15,56.3,1,4,0,4.8
473,46,1,urban,9,12.8,5,4,0,3.2
474,64,1,suburban,15,63.9,6,5,1,9.7
475,50,0,urban,15,53.1,5,7,0,5.6
476,57,1,urban,10,30.7,4,1,0,4.5
477,35,0,urban,17,40.5,4,7,0,5.2
478,70,1,rural,12,52.4,6,6,0,7.2
479,50,1,suburban,9,16.4,2,5,0,5.9
480,28,0,rural,9,25.0,3,2,0,4.9
481,57,1,urban,10,46.7,4,2,0,4.9
482,39,1,rural,14,49.7,2,5,0,5.1
483,51,0,rural,13,22.5,7,8,1,6.6
484,53,1,rural,14,66.7,4,5,0,3.7
485,64,0,suburban,14,39.0,3,6,1,6.2
486,37,1,suburban,11,57.9,5,7,0,6.3
487,37,1,urban,13,37.9,5,2,0,3.8
488,24,1,urban,16,25.7,4,6,0,3.9
489,62,0,urban,14,33.9,5,8,0,5.4
490,41,1,suburban,11,42.6,4,3,0,6.0
491,52,1,urban,10,40.4,1,5,0,1.9
492,55,0,suburban,14,55.9,6,7,0,3.7
493,61,1,urban,18,59.3,7,6,1,9.0
494,43,1,suburban,12,32.0,5,3,0,3.2
495,18,1,urban,13,23.7,5,3,0,5.0
496,51,1,rural,14,54.2,8,7,1,8.3
497,40,0,suburban,16,49.9,5,7,0,4.4
498,18,1,urban,12,17.1,3,1,0,4.4
499,42,1,urban,15,53.0,6,3,0,4.6
500,43,1,rural,8,25.5,2,0,0,2.5
501,24,0,urban,16,41.1,2,2,0,1.1
502,41,1,urban,17,77.9,7,8,1,9.6
503,38,1,rural,14,59.9,5,3,1,7.1
504,52,0,rural,14,60.6,6,6,1,5.7
505,69,0,rural,14,55.8,7,8,1,7.5
506,60,0,urban,16,62.3,6,4,0,4.7
507,47,1,suburban,14,76.6,2,3,0,3.6
508,33,1,rural,15,30.2,4,5,0,4.0
509,40,0,suburban,12,47.8,4,2,1,6.5
510,44,1,suburban,12,41.7,2,2,0,1.7
511,74,1,suburban,18,84.9,4,3,1,6.8
512,59,0,suburban,12,41.0,6,6,1,6.6
513,42,1,urban,15,81.3,4,8,0,4.8
514,32,1,urban,10,29.7,2,3,0,4.5
515,31,0,suburban,16,33.6,7,6,0,5.3
516,44,1,urban,16,107.4,8,7,1,9.1
517,49,1,suburban,13,56.7,3,4,0,4.9
518,54,0,rural,13,65.9,4,4,0,5.4
519,59,1,urban,13,43.9,2,1,0,1.7
520,52,1,suburban,17,76.3,7,6,0,7.1
521,35,1,urban,17,61.6,7,6,0,8.6
522,45,1,rural,13,51.6,1,5,0,2.6
523,36,0,rural,11,28.6,4,3,0,3.7
524,50,0,suburban,8,27.4,4,4,0,4.2
525,18,0,suburban,13,32.6,8,4,0,5.6
526,59,1,urban,14,60.6,4,4,0,4.3
527,65,1,suburban,14,31.1,7,7,0,7.7
528,36,1,rural,9,19.1,4,1,0,2.7
529,72,1,urban,12,31.1,3,2,0,3.7
530,81,0,urban,10,15.9,9,6,1,10.0
531,61,0,urban,11,42.4,4,5,0,4.8
532,31,1,rural,15,43.0,5,5,0,4.4
533,53,1,rural,11,25.7,2,4,1,6.8
534,48,0,suburban,11,36.0,3,0,0,2.0
535,68,0,rural,14,58.6,3,3,0,5.9
536,74,1,suburban,12,28.6,3,3,0,3.9
537,53,1,urban,12,42.9,3,5,0,4.3
538,57,0,suburban,13,70.2,5,4,0,7.1
539,31,1,urban,13,32.8,3,3,0,3.1
540,42,1,suburban,11,27.9,4,5,0,4.4
541,63,1,suburban,15,60.2,8,6,0,8.7
542,63,1,suburban,13,69.1,5,7,0,6.8
543,52,0,rural,15,57.6,9,6,0,7.5
544,22,0,urban,15,31.9,7,4,0,7.2
545,73,1,urban,14,51.5,7,6,0,7.5
546,48,0,urban,14,88.2,4,5,0,4.8
547,65,1,rural,11,37.6,2,2,0,3.5
548,53,1,suburban,9,36.9,4,3,0,4.9
